geo_id,X1,X2,X3,X4,X5
59_350_0619,0.45108746779641135,0,0.5484618623664287,0,0
59_350_0620,0.8413898695348802,0,0.11407585747455595,0.04368727717661359,0
59_350_0621,0.7862262501230995,0,0,0.21318787448329002,0
59_350_0622,0.9154980189245305,0,0.08378708682451848,0,0
59_350_0623,0.9000486323528957,0,0.09922245665069467,0,0
59_350_0624,0.8338265145305593,0,0.151539947901329,0.013819509078782962,0
59_350_0625,0,0,0.9995673827253169,0,0
59_350_0626,0,0,0.9998544872904549,0,0
59_350_0701,0.5913888539070092,0,0.1717255854900524,0.23622109545552633,0
59_350_0702,0.7654191262773913,0,0,0.23388383497292206,0
59_350_0703,0.608885384259591,0.0035051991619840087,0.24878416256758545,0.1379749319163678,0
59_350_0704,0.7757911621114363,0,0.015641788311983217,0.20782685864124176,0
59_350_0801,0.3361909042765982,0,0.19441152913880252,0.46898274294285097,0
59_350_0802,0.34270830690966064,0.0020032381312096942,0.5309020838505741,0.11501593984769626,0.008557709464079742
59_350_0803,0.6871664870973059,0,0.31219099217559676,0,0
59_350_0804,0.7489932522871827,0,0.11299824505088216,0.1370834996735956,0
59_350_0805,0.6439703362472583,0,0.35538485513784035,0,0
59_350_0806,0.7053886763857936,0,0.1480559997352287,0.14576787936493968,0
59_350_0807,0.4076591765479401,0,0.5920997562802305,0,0
59_350_0808,0.21924794255945088,0,0.7802489006730903,0,0
59_350_0809,0.6803577153827917,0,0.20621741851933345,0.11270807358993148,0
59_350_0810,0.4689094414927181,0,0.5306680320584435,0,0
59_350_0811,0.6329141034242877,0,0.36649195549464714,0,0
59_350_0812,0,0,0.9999500000222251,0,0
59_350_0813,0.20101434126068296,0,0.79836419612712906,0,0
59_350_0814,0.29722014315292006,0,0.6109510290682487,0,0.09096827687636994
59_350_0816,0.29249008416061423,0,0.6275985912063825,0.016369892027188193,0.06265224800906544
59_350_0817,0.019282300030810835,0,0.980224179330853,0,0
59_350_0818,0.303575173905321,0,0.6451775567672918,0,0.05040400229327719
59_350_0819,0.5014949893590004,0,0.18907417512776725,0.3087797884456883,0
59_350_0820,0.6796828323513285,0,0.18638658621372647,0.13313015149509383,0
59_350_0821,0.575710250619307,0,0.11820075519803841,0.30545621988487465,0
59_350_0822,0.47053069012943105,0,0.005680898399835646,0.5232830458981064,0
59_350_0823,0.14489411128929755,0,0.8043555841715009,0,0.05001327016117754
59_350_0824,0.5873258413248676,0,0.17829005456307265,0.2336521573549097,0
59_350_0826,0.46972810949510385,0,0.16619563180751906,0.36356163842241834,0
